location_name,sex_name,age_name,cause_name,val
Alabama,Female,50 to 54,Major depressive disorder,4510.2887
Alabama,Male,55 to 59,Major depressive disorder,2145.6939
Alabama,Female,55 to 59,Major depressive disorder,3866.2043
Alabama,Male,70 to 74,Major depressive disorder,1473.5141
Alabama,Female,65 to 69,Major depressive disorder,2723.4294
Alabama,Male,65 to 69,Major depressive disorder,1650.3657
Alabama,Female,60 to 64,Major depressive disorder,3258.5613
Alabama,Male,60 to 64,Major depressive disorder,1834.064
Alabama,Female,70 to 74,Major depressive disorder,2192.0865
Alabama,Male,75 to 79,Major depressive disorder,1297.66494
Alabama,Female,75 to 79,Major depressive disorder,1660.3045
Alabama,Male,80 plus,Major depressive disorder,1589.447187
Alabama,Female,80 to 84,Anxiety disorders,5899.2936
Alabama,Male,80 to 84,Anxiety disorders,3001.3214
Alabama,Female,80 plus,Anxiety disorders,5456.683461
Alabama,Male,80 plus,Anxiety disorders,2814.243738
Alabama,Female,75 to 79,Anxiety disorders,6479.4297
Alabama,Male,75 to 79,Anxiety disorders,3299.7583
Alabama,Female,70 to 74,Anxiety disorders,7103.2452
Alabama,Male,70 to 74,Anxiety disorders,3608.936
Alabama,Female,65 to 69,Anxiety disorders,7823.7468
Alabama,Female,80 to 84,Major depressive disorder,1533.6059
Alabama,Male,80 to 84,Major depressive disorder,1345.18159
Alabama,Female,80 plus,Major depressive disorder,1944.590163
Alabama,Male,55 to 59,Anxiety disorders,5097.0866
Alabama,Female,55 to 59,Anxiety disorders,9839.4349
Alabama,Male,60 to 64,Anxiety disorders,4431.4705
Alabama,Female,60 to 64,Anxiety disorders,8724.7749
Alabama,Male,65 to 69,Anxiety disorders,3960.8823
Alaska,Female,80 to 84,Anxiety disorders,5899.2936
Alaska,Female,80 plus,Anxiety disorders,5485.170523
Alaska,Male,80 to 84,Anxiety disorders,3001.3214
Alaska,Male,80 plus,Anxiety disorders,2796.327598
Alaska,Female,75 to 79,Anxiety disorders,6479.4297
Alaska,Male,75 to 79,Anxiety disorders,3299.7583
Alaska,Female,70 to 74,Anxiety disorders,7103.2452
Alaska,Male,70 to 74,Anxiety disorders,3608.936
Alaska,Female,30 to 34,Anxiety disorders,11239.0023
Alaska,Male,30 to 34,Anxiety disorders,5830.9227
Alaska,Female,25 to 29,Anxiety disorders,10627.5725
Alaska,Male,25 to 29,Anxiety disorders,5480.6114
Alaska,Female,20 to 24,Anxiety disorders,9673.269
Alaska,Male,20 to 24,Anxiety disorders,5155.5897
Alaska,Female,15 to 19,Anxiety disorders,8210.5058
Alaska,Male,15 to 19,Anxiety disorders,4776.0519
Alaska,Male,35 to 39,Anxiety disorders,6198.5441
Alaska,Female,35 to 39,Anxiety disorders,11657.8794
Alaska,Male,40 to 44,Anxiety disorders,6454.4486
Alaska,Female,40 to 44,Anxiety disorders,11867.2339
Alaska,Male,65 to 69,Anxiety disorders,3960.8823
Alaska,Female,60 to 64,Anxiety disorders,8724.7749
Alaska,Male,60 to 64,Anxiety disorders,4431.4705
Alaska,Female,55 to 59,Anxiety disorders,9839.4349
Alaska,Male,55 to 59,Anxiety disorders,5097.0866
Alaska,Female,50 to 54,Anxiety disorders,10846.2637
Alaska,Male,50 to 54,Anxiety disorders,5746.1539
Alaska,Female,45 to 49,Anxiety disorders,11568.937
Alaska,Male,45 to 49,Anxiety disorders,6248.7749
Alaska,Female,65 to 69,Anxiety disorders,7823.7468
Alaska,Male,55 to 59,Depressive disorders,3929.575
Alaska,Female,55 to 59,Depressive disorders,7279.385
Alaska,Male,60 to 64,Depressive disorders,3548.65
Alaska,Female,60 to 64,Depressive disorders,6520.6
Alaska,Male,65 to 69,Depressive disorders,3364.055
Alaska,Female,65 to 69,Depressive disorders,5810
Alaska,Male,70 to 74,Depressive disorders,3172.705
Alaska,Female,70 to 74,Depressive disorders,5089.74
Alaska,Male,75 to 79,Depressive disorders,2995.105
Alaska,Female,50 to 54,Depressive disorders,8066.53
Alaska,Female,75 to 79,Depressive disorders,4350.14
Alaska,Female,80 plus,Depressive disorders,4262.339399
Alaska,Male,80 to 84,Depressive disorders,3028.605
Alaska,Female,80 to 84,Depressive disorders,4024.315
Alaska,Male,15 to 19,Major depressive disorder,2949.5412
Alaska,Female,15 to 19,Major depressive disorder,7064.3327
Alaska,Male,20 to 24,Major depressive disorder,4019.9641
Alaska,Female,20 to 24,Major depressive disorder,7127.5919
Alaska,Male,25 to 29,Major depressive disorder,3385.2768
Alaska,Female,25 to 29,Major depressive disorder,5811.6346
Alaska,Male,80 plus,Depressive disorders,3259.422323
Alaska,Male,50 to 54,Depressive disorders,4394.245
Alaska,Female,45 to 49,Depressive disorders,8805.595
Alaska,Male,45 to 49,Depressive disorders,4842.28
Alaska,Male,15 to 19,Depressive disorders,3807.445
Alaska,Female,15 to 19,Depressive disorders,8383.4
Alaska,Male,20 to 24,Depressive disorders,5313.735
Alaska,Female,20 to 24,Depressive disorders,9175.195
Alaska,Male,25 to 29,Depressive disorders,4976.28
Alaska,Female,25 to 29,Depressive disorders,8379.855
Alaska,Male,30 to 34,Depressive disorders,4798.97
Alaska,Female,30 to 34,Depressive disorders,8102.57
Alaska,Male,35 to 39,Depressive disorders,5129.725
Alaska,Female,35 to 39,Depressive disorders,8984.42
Alaska,Male,40 to 44,Depressive disorders,5211.945
Alaska,Female,40 to 44,Depressive disorders,9361.37
Alaska,Male,30 to 34,Major depressive disorder,3028.476
Alaska,Female,30 to 34,Major depressive disorder,5220.9926
Alaska,Female,35 to 39,Major depressive disorder,5940.0893
Alaska,Male,40 to 44,Major depressive disorder,3253.6885
Alaska,Female,40 to 44,Major depressive disorder,6185.6913
Alaska,Male,45 to 49,Major depressive disorder,2865.8615
Alaska,Female,45 to 49,Major depressive disorder,5568.9455
Alaska,Male,50 to 54,Major depressive disorder,2458.9126
Alaska,Female,50 to 54,Major depressive disorder,4907.4018
Alaska,Male,55 to 59,Major depressive disorder,2047.9812
Alaska,Female,55 to 59,Major depressive disorder,4233.24
Alaska,Male,60 to 64,Major depressive disorder,1731.3828
Alaska,Female,60 to 64,Major depressive disorder,3603.6997
Alaska,Male,65 to 69,Major depressive disorder,1578.4031
Alaska,Female,65 to 69,Major depressive disorder,3066.2411
Alaska,Male,70 to 74,Major depressive disorder,1433.2842
Alaska,Female,70 to 74,Major depressive disorder,2532.96
Alaska,Male,75 to 79,Major depressive disorder,1288.78654
Alaska,Female,75 to 79,Major depressive disorder,1998.6315
Alaska,Male,80 plus,Major depressive disorder,1620.988681
Alaska,Female,80 plus,Major depressive disorder,2244.681993
Alaska,Male,80 to 84,Major depressive disorder,1355.0831
Alaska,Female,80 to 84,Major depressive disorder,1866.5061
Alaska,Male,35 to 39,Major depressive disorder,3247.4853
Arizona,Female,55 to 59,Depressive disorders,7441.085
Arizona,Male,55 to 59,Depressive disorders,4164.475
Arizona,Male,65 to 69,Major depressive disorder,1715.4255
Arizona,Female,65 to 69,Major depressive disorder,3109.7271
Arizona,Male,70 to 74,Major depressive disorder,1531.4458
Arizona,Female,70 to 74,Major depressive disorder,2526.9643
Arizona,Male,75 to 79,Major depressive disorder,1348.98306
Arizona,Female,75 to 79,Major depressive disorder,1946.0055
Arizona,Female,50 to 54,Depressive disorders,8299.785
Arizona,Male,50 to 54,Depressive disorders,4719.385
Arizona,Female,45 to 49,Depressive disorders,9074.7
Arizona,Male,45 to 49,Depressive disorders,5227.675
Arizona,Female,40 to 44,Depressive disorders,9689.495
Arizona,Male,40 to 44,Depressive disorders,5648.76
Arizona,Female,35 to 39,Depressive disorders,9309.705
Arizona,Male,35 to 39,Depressive disorders,5445.135
Arizona,Female,30 to 34,Depressive disorders,8379.01
Arizona,Male,30 to 34,Depressive disorders,4904.15
Arizona,Female,25 to 29,Depressive disorders,8506.225
Arizona,Male,25 to 29,Depressive disorders,4939.875
Arizona,Female,20 to 24,Depressive disorders,9183.7
Arizona,Male,20 to 24,Depressive disorders,5198.85
Arizona,Female,15 to 19,Depressive disorders,9203.645
Arizona,Male,15 to 19,Depressive disorders,3949.61
Arizona,Female,60 to 64,Major depressive disorder,3700.1491
Arizona,Male,60 to 64,Major depressive disorder,1909.4801
Arizona,Female,55 to 59,Major depressive disorder,4394.5731
Arizona,Male,55 to 59,Major depressive disorder,2292.6059
Arizona,Male,60 to 64,Depressive disorders,3731.73
Arizona,Female,60 to 64,Depressive disorders,6607.245
Arizona,Male,65 to 69,Depressive disorders,3486.325
Arizona,Female,65 to 69,Depressive disorders,5858.63
Arizona,Male,70 to 74,Depressive disorders,3268.225
Arizona,Female,70 to 74,Depressive disorders,5093.855
Arizona,Male,75 to 79,Depressive disorders,3050.865
Arizona,Female,75 to 79,Depressive disorders,4305.785
Arizona,Male,80 plus,Depressive disorders,3406.770188
Arizona,Female,80 plus,Depressive disorders,4364.896432
Arizona,Male,80 to 84,Depressive disorders,3103.59
Arizona,Female,80 to 84,Depressive disorders,3991.765
Arizona,Male,15 to 19,Major depressive disorder,3103.0221
Arizona,Female,15 to 19,Major depressive disorder,7937.233
Arizona,Female,20 to 24,Major depressive disorder,7138.0337
Arizona,Male,25 to 29,Major depressive disorder,3344.7036
Arizona,Female,25 to 29,Major depressive disorder,5969.7444
Arizona,Male,30 to 34,Major depressive disorder,3130.3134
Arizona,Female,30 to 34,Major depressive disorder,5517.5825
Arizona,Male,35 to 39,Major depressive disorder,3583.4284
Arizona,Female,35 to 39,Major depressive disorder,6285.5295
Arizona,Male,40 to 44,Major depressive disorder,3714.9059
Arizona,Female,40 to 44,Major depressive disorder,6538.4262
Arizona,Male,45 to 49,Major depressive disorder,3263.3497
Arizona,Female,45 to 49,Major depressive disorder,5862.9445
Arizona,Male,50 to 54,Major depressive disorder,2781.7202
Arizona,Female,50 to 54,Major depressive disorder,5136.826
Arizona,Male,20 to 24,Major depressive disorder,3905.5679
Arizona,Male,55 to 59,Anxiety disorders,5097.0866
Arizona,Female,50 to 54,Anxiety disorders,10846.2637
Arizona,Male,50 to 54,Anxiety disorders,5746.1539
Arizona,Female,45 to 49,Anxiety disorders,11568.937
Arizona,Male,45 to 49,Anxiety disorders,6248.7749
Arizona,Female,40 to 44,Anxiety disorders,11867.2339
Arizona,Male,40 to 44,Anxiety disorders,6454.4486
Arizona,Female,35 to 39,Anxiety disorders,11657.8794
Arizona,Male,35 to 39,Anxiety disorders,6198.5441
Arizona,Female,30 to 34,Anxiety disorders,11239.0023
Arizona,Male,30 to 34,Anxiety disorders,5830.9227
Arizona,Female,55 to 59,Anxiety disorders,9839.4349
Arizona,Female,25 to 29,Anxiety disorders,10627.5725
Arizona,Female,20 to 24,Anxiety disorders,9673.269
Arizona,Male,20 to 24,Anxiety disorders,5155.5897
Arizona,Female,15 to 19,Anxiety disorders,8210.5058
Arizona,Male,15 to 19,Anxiety disorders,4776.0519
Arizona,Male,25 to 29,Anxiety disorders,5480.6114
Arizona,Male,60 to 64,Anxiety disorders,4431.4705
Arizona,Male,65 to 69,Anxiety disorders,3960.8823
Arizona,Female,60 to 64,Anxiety disorders,8724.7749
Arizona,Female,80 to 84,Anxiety disorders,5899.2936
Arizona,Male,80 to 84,Anxiety disorders,3001.3214
Arizona,Female,80 plus,Anxiety disorders,5417.238862
Arizona,Male,80 plus,Anxiety disorders,2779.555566
Arizona,Male,75 to 79,Anxiety disorders,3299.7583
Arizona,Female,70 to 74,Anxiety disorders,7103.2452
Arizona,Male,70 to 74,Anxiety disorders,3608.936
Arizona,Female,65 to 69,Anxiety disorders,7823.7468
Arizona,Female,80 to 84,Major depressive disorder,1830.21
Arizona,Male,80 to 84,Major depressive disorder,1425.7025
Arizona,Female,80 plus,Major depressive disorder,2365.388064
Arizona,Male,80 plus,Major depressive disorder,1773.4409
Arizona,Female,75 to 79,Anxiety disorders,6479.4297
Arkansas,Female,40 to 44,Major depressive disorder,7114.8893
Arkansas,Female,80 to 84,Depressive disorders,3965.85
Arkansas,Male,80 to 84,Depressive disorders,3123.415
Arkansas,Female,80 plus,Depressive disorders,4344.111058
Arkansas,Male,80 plus,Depressive disorders,3390.974261
Arkansas,Female,75 to 79,Depressive disorders,4346.87
Arkansas,Male,75 to 79,Depressive disorders,3110.93
Arkansas,Female,70 to 74,Depressive disorders,5199.9
Arkansas,Male,70 to 74,Depressive disorders,3356.02
Arkansas,Female,65 to 69,Depressive disorders,6062.24
Arkansas,Male,65 to 69,Depressive disorders,3611.87
Arkansas,Female,60 to 64,Depressive disorders,6899.9
Arkansas,Male,60 to 64,Depressive disorders,3882.88
Arkansas,Female,55 to 59,Depressive disorders,7797.275
Arkansas,Male,55 to 59,Depressive disorders,4332.53
Arkansas,Female,50 to 54,Depressive disorders,8713.74
Arkansas,Female,45 to 49,Depressive disorders,9557.86
Arkansas,Male,45 to 49,Depressive disorders,5361.805
Arkansas,Female,40 to 44,Depressive disorders,10230.87
Arkansas,Male,40 to 44,Depressive disorders,5783.245
Arkansas,Female,35 to 39,Depressive disorders,9851.99
Arkansas,Male,35 to 39,Depressive disorders,5630.925
Arkansas,Female,30 to 34,Depressive disorders,8849.825
Arkansas,Male,30 to 34,Depressive disorders,5154.06
Arkansas,Female,25 to 29,Depressive disorders,8673.815
Arkansas,Male,25 to 29,Depressive disorders,5151.11
Arkansas,Female,20 to 24,Depressive disorders,8918.225
Arkansas,Male,20 to 24,Depressive disorders,5326.085
Arkansas,Female,15 to 19,Depressive disorders,9222.21
Arkansas,Male,15 to 19,Depressive disorders,3894.135
Arkansas,Male,50 to 54,Depressive disorders,4854.145
Arkansas,Male,15 to 19,Major depressive disorder,3045.9327
Arkansas,Female,15 to 19,Major depressive disorder,7962.7135
Arkansas,Male,40 to 44,Major depressive disorder,3853.5457
Arkansas,Female,35 to 39,Major depressive disorder,6852.9374
Arkansas,Male,35 to 39,Major depressive disorder,3770.3004
Arkansas,Female,30 to 34,Major depressive disorder,6023.9718
Arkansas,Male,30 to 34,Major depressive disorder,3394.3833
Arkansas,Female,25 to 29,Major depressive disorder,6141.8756
Arkansas,Male,25 to 29,Major depressive disorder,3576.2329
Arkansas,Female,20 to 24,Major depressive disorder,6850.7706
Arkansas,Male,20 to 24,Major depressive disorder,4033.9522
Arkansas,Female,45 to 49,Major depressive disorder,6380.2269
Arkansas,Male,50 to 54,Major depressive disorder,2935.8284
Arkansas,Female,50 to 54,Major depressive disorder,5588.7073
Arkansas,Male,55 to 59,Major depressive disorder,2456.0664
Arkansas,Female,55 to 59,Major depressive disorder,4777.0864
Arkansas,Male,60 to 64,Major depressive disorder,2066.2297
Arkansas,Male,65 to 69,Major depressive disorder,1838.6134
Arkansas,Female,65 to 69,Major depressive disorder,3320.6194
Arkansas,Male,70 to 74,Major depressive disorder,1620.3457
Arkansas,Female,70 to 74,Major depressive disorder,2647.1352
Arkansas,Male,75 to 79,Major depressive disorder,1403.86468
Arkansas,Female,75 to 79,Major depressive disorder,1976.595
Arkansas,Male,80 plus,Major depressive disorder,1752.730633
Arkansas,Female,80 plus,Major depressive disorder,2345.4679
Arkansas,Male,80 to 84,Major depressive disorder,1449.5187
Arkansas,Female,80 to 84,Major depressive disorder,1810.4602
Arkansas,Female,60 to 64,Major depressive disorder,4002.6513
Arkansas,Male,55 to 59,Anxiety disorders,5097.0866
Arkansas,Female,55 to 59,Anxiety disorders,9839.4349
Arkansas,Male,60 to 64,Anxiety disorders,4431.4705
Arkansas,Female,60 to 64,Anxiety disorders,8724.7749
Arkansas,Male,65 to 69,Anxiety disorders,3960.8823
Arkansas,Female,65 to 69,Anxiety disorders,7823.7468
Arkansas,Male,70 to 74,Anxiety disorders,3608.936
Arkansas,Female,70 to 74,Anxiety disorders,7103.2452
Arkansas,Male,75 to 79,Anxiety disorders,3299.7583
Arkansas,Female,75 to 79,Anxiety disorders,6479.4297
Arkansas,Male,80 plus,Anxiety disorders,2798.089245
Arkansas,Female,80 plus,Anxiety disorders,5427.28096
Arkansas,Male,80 to 84,Anxiety disorders,3001.3214
Arkansas,Female,80 to 84,Anxiety disorders,5899.2936
Arkansas,Female,50 to 54,Anxiety disorders,10846.2637
Arkansas,Male,50 to 54,Anxiety disorders,5746.1539
Arkansas,Male,45 to 49,Anxiety disorders,6248.7749
Arkansas,Female,45 to 49,Anxiety disorders,11568.937
Arkansas,Male,15 to 19,Anxiety disorders,4776.0519
Arkansas,Female,15 to 19,Anxiety disorders,8210.5058
Arkansas,Male,20 to 24,Anxiety disorders,5155.5897
Arkansas,Female,20 to 24,Anxiety disorders,9673.269
Arkansas,Male,25 to 29,Anxiety disorders,5480.6114
Arkansas,Female,25 to 29,Anxiety disorders,10627.5725
Arkansas,Male,30 to 34,Anxiety disorders,5830.9227
Arkansas,Female,30 to 34,Anxiety disorders,11239.0023
Arkansas,Male,35 to 39,Anxiety disorders,6198.5441
Arkansas,Female,35 to 39,Anxiety disorders,11657.8794
Arkansas,Male,40 to 44,Anxiety disorders,6454.4486
Arkansas,Female,40 to 44,Anxiety disorders,11867.2339
Arkansas,Male,45 to 49,Major depressive disorder,3408.4811
California,Male,15 to 19,Major depressive disorder,2622.9269
California,Female,15 to 19,Major depressive disorder,6470.9379
California,Male,20 to 24,Major depressive disorder,2895.8628
California,Female,20 to 24,Major depressive disorder,5477.7698
California,Female,40 to 44,Major depressive disorder,4697.4747
California,Male,40 to 44,Major depressive disorder,2756.9209
California,Female,35 to 39,Major depressive disorder,4448.1595
California,Male,35 to 39,Major depressive disorder,2643.5819
California,Female,30 to 34,Major depressive disorder,3872.7732
California,Male,30 to 34,Major depressive disorder,2329.4722
California,Female,25 to 29,Major depressive disorder,4356.2436
California,Male,45 to 49,Major depressive disorder,2506.7652
California,Male,25 to 29,Major depressive disorder,2483.5973
California,Female,45 to 49,Major depressive disorder,4343.9737
California,Female,50 to 54,Major depressive disorder,3962.2502
California,Female,80 to 84,Major depressive disorder,1549.0495
California,Male,80 to 84,Major depressive disorder,1267.61165
California,Female,80 plus,Major depressive disorder,2093.052276
California,Male,80 plus,Major depressive disorder,1601.239252
California,Female,75 to 79,Major depressive disorder,1631.136
California,Male,50 to 54,Major depressive disorder,2239.5521
California,Male,75 to 79,Major depressive disorder,1203.01913
California,Male,70 to 74,Major depressive disorder,1377.7778
California,Female,65 to 69,Major depressive disorder,2640.5475
California,Male,65 to 69,Major depressive disorder,1553.0122
California,Female,60 to 64,Major depressive disorder,3141.8781
California,Male,60 to 64,Major depressive disorder,1731.6056
California,Female,55 to 59,Major depressive disorder,3575.0672
California,Male,55 to 59,Major depressive disorder,1969.3223
California,Female,70 to 74,Major depressive disorder,2136.4412
California,Female,80 to 84,Anxiety disorders,5114.8729
California,Male,80 to 84,Anxiety disorders,3081.869
California,Female,80 plus,Anxiety disorders,4617.967712
California,Male,80 plus,Anxiety disorders,2847.575989
California,Female,75 to 79,Anxiety disorders,5671.572
California,Male,75 to 79,Anxiety disorders,3376.9944
California,Male,70 to 74,Anxiety disorders,3683.1348
California,Female,15 to 19,Anxiety disorders,7687.4866
California,Male,15 to 19,Anxiety disorders,4827.5872
California,Male,20 to 24,Anxiety disorders,5214.2376
California,Female,70 to 74,Anxiety disorders,6262.1878
California,Female,20 to 24,Anxiety disorders,8940.0201
California,Female,25 to 29,Anxiety disorders,9738.5854
California,Female,65 to 69,Anxiety disorders,6936.8155
California,Male,65 to 69,Anxiety disorders,4034.6258
California,Female,60 to 64,Anxiety disorders,7781.4313
California,Male,60 to 64,Anxiety disorders,4508.7402
California,Female,55 to 59,Anxiety disorders,8841.7713
California,Male,55 to 59,Anxiety disorders,5182.2808
California,Female,50 to 54,Anxiety disorders,9816.0961
California,Male,25 to 29,Anxiety disorders,5546.5013
California,Male,50 to 54,Anxiety disorders,5838.289
California,Male,45 to 49,Anxiety disorders,6343.5584
California,Female,40 to 44,Anxiety disorders,10834.0549
California,Male,40 to 44,Anxiety disorders,6545.5322
California,Female,35 to 39,Anxiety disorders,10632.4257
California,Male,35 to 39,Anxiety disorders,6281.1241
California,Female,30 to 34,Anxiety disorders,10255.1807
California,Male,30 to 34,Anxiety disorders,5904.8939
California,Female,45 to 49,Anxiety disorders,10530.2144
California,Male,35 to 39,Depressive disorders,4542.91
California,Female,35 to 39,Depressive disorders,7577.905
California,Male,40 to 44,Depressive disorders,4723.415
California,Female,40 to 44,Depressive disorders,7974.14
California,Male,45 to 49,Depressive disorders,4496.51
California,Female,45 to 49,Depressive disorders,7659.67
California,Male,50 to 54,Depressive disorders,4181.675
California,Female,50 to 54,Depressive disorders,7188.84
California,Male,55 to 59,Depressive disorders,3853.975
California,Female,55 to 59,Depressive disorders,6669.11
California,Female,30 to 34,Depressive disorders,6831.495
California,Male,60 to 64,Depressive disorders,3556.465
California,Male,65 to 69,Depressive disorders,3333.87
California,Female,65 to 69,Depressive disorders,5407.795
California,Male,70 to 74,Depressive disorders,3122.385
California,Female,70 to 74,Depressive disorders,4711.28
California,Male,75 to 79,Depressive disorders,2919.91
California,Female,75 to 79,Depressive disorders,4006.67
California,Male,80 plus,Depressive disorders,3234.215939
California,Female,80 plus,Depressive disorders,4087.577356
California,Male,80 to 84,Depressive disorders,2941.445
California,Female,80 to 84,Depressive disorders,3710.87
California,Female,60 to 64,Depressive disorders,6072.065
California,Male,30 to 34,Depressive disorders,4130.54
California,Male,25 to 29,Depressive disorders,4111.865
California,Female,25 to 29,Depressive disorders,6998.945
California,Male,20 to 24,Depressive disorders,4216.135
California,Female,20 to 24,Depressive disorders,7624.87
California,Male,15 to 19,Depressive disorders,3487.21
California,Female,15 to 19,Depressive disorders,7831.035
Colorado,Female,60 to 64,Major depressive disorder,3558.2085
Colorado,Male,65 to 69,Major depressive disorder,1642.1439
Colorado,Female,65 to 69,Major depressive disorder,3018.152
Colorado,Male,70 to 74,Major depressive disorder,1448.6681
Colorado,Female,70 to 74,Major depressive disorder,2485.5821
Colorado,Male,75 to 79,Major depressive disorder,1256.44609
Colorado,Female,75 to 79,Major depressive disorder,1953.2534
Colorado,Male,60 to 64,Major depressive disorder,1844.0838
Colorado,Male,80 plus,Major depressive disorder,1618.853262
Colorado,Male,80 to 84,Major depressive disorder,1317.26787
Colorado,Female,80 to 84,Major depressive disorder,1835.8306
Colorado,Female,80 plus,Major depressive disorder,2281.227819
Colorado,Female,55 to 59,Major depressive disorder,4237.7786
Colorado,Female,50 to 54,Major depressive disorder,4986.9238
Colorado,Female,80 to 84,Depressive disorders,3993.745
Colorado,Male,15 to 19,Major depressive disorder,3077.3512
Colorado,Female,15 to 19,Major depressive disorder,7816.3775
Colorado,Male,20 to 24,Major depressive disorder,3817.7892
Colorado,Female,20 to 24,Major depressive disorder,7711.6696
Colorado,Male,25 to 29,Major depressive disorder,3237.5154
Colorado,Female,25 to 29,Major depressive disorder,6189.8791
Colorado,Male,55 to 59,Major depressive disorder,2203.3306
Colorado,Male,30 to 34,Major depressive disorder,2993.2198
Colorado,Male,35 to 39,Major depressive disorder,3394.292
Colorado,Female,35 to 39,Major depressive disorder,6181.1848
Colorado,Male,40 to 44,Major depressive disorder,3505.8196
Colorado,Female,40 to 44,Major depressive disorder,6403.1436
Colorado,Male,45 to 49,Major depressive disorder,3091.555
Colorado,Female,45 to 49,Major depressive disorder,5719.7785
Colorado,Male,50 to 54,Major depressive disorder,2650.6394
Colorado,Female,30 to 34,Major depressive disorder,5464.298
Colorado,Male,80 to 84,Depressive disorders,2998.885
Colorado,Male,80 to 84,Anxiety disorders,3001.3214
Colorado,Female,80 plus,Depressive disorders,4285.986731
Colorado,Male,80 plus,Depressive disorders,3261.953968
Colorado,Female,75 to 79,Depressive disorders,4314.7
Colorado,Male,75 to 79,Depressive disorders,2967.235
Colorado,Female,70 to 74,Depressive disorders,5045.775
Colorado,Male,70 to 74,Depressive disorders,3188.8
Colorado,Female,65 to 69,Depressive disorders,5771.045
Colorado,Male,65 to 69,Depressive disorders,3421.555
Colorado,Male,60 to 64,Depressive disorders,3671.495
Colorado,Female,60 to 64,Depressive disorders,6475.095
Colorado,Female,15 to 19,Depressive disorders,9081.265
Colorado,Female,55 to 59,Depressive disorders,7296.51
Colorado,Male,55 to 59,Depressive disorders,4087.135
Colorado,Female,50 to 54,Depressive disorders,8151.555
Colorado,Male,50 to 54,Depressive disorders,4581.6
Colorado,Female,45 to 49,Depressive disorders,8952.01
Colorado,Male,45 to 49,Depressive disorders,5065.455
Colorado,Female,40 to 44,Depressive disorders,9571.105
